f [Hz], FR(kf0), FI(kf0), |F(kf0)|
1.95889,3.14805,0,3.14805
1.95928,3.26195,0,3.26195
1.95966,3.08092,0,3.08092
1.96004,2.66855,0,2.66855
1.96043,2.12132,0,2.12132
1.96081,1.55366,0,1.55366
1.96119,1.0802,0,1.0802
1.96158,0.798005,0,0.798005
1.96196,0.771639,0,0.771639
1.96234,1.02306,0,1.02306
1.96273,1.52814,0,1.52814
1.96311,2.22019,0,2.22019
1.9635,3,0,3
1.96388,3.75092,0,3.75092
1.96426,4.35657,0,4.35657
1.96465,4.71858,0,4.71858
1.96503,4.77164,0,4.77164
1.96541,4.49352,0,4.49352
1.9658,3.90862,0,3.90862
1.96618,3.0844,0,3.0844
1.96656,2.12132,0,2.12132
1.96695,1.13781,0,1.13781
1.96733,0.252497,0,0.252497
1.96771,-0.433569,0,0.433569
1.9681,-0.85195,0,0.85195
1.96848,-0.976905,0,0.976905
1.96886,-0.828943,0,0.828943
1.96925,-0.471315,0,0.471315
1.96963,-1.24923e-13,0,1.24923e-13
1.97001,0.471315,0,0.471315
1.9704,0.828943,0,0.828943
1.97078,0.976905,0,0.976905
1.97117,0.85195,0,0.85195
1.97155,0.433569,0,0.433569
1.97193,-0.252497,0,0.252497
1.97232,-1.13781,0,1.13781
1.9727,-2.12132,0,2.12132
1.97308,-3.0844,0,3.0844
1.97347,-3.90862,0,3.90862
1.97385,-4.49352,0,4.49352
1.97423,-4.77164,0,4.77164
1.97462,-4.71858,0,4.71858
1.975,-4.35657,0,4.35657
1.97538,-3.75092,0,3.75092
1.97577,-3,0,3
1.97615,-2.22019,0,2.22019
1.97653,-1.52814,0,1.52814
1.97692,-1.02306,0,1.02306
1.9773,-0.771639,0,0.771639
1.97768,-0.798005,0,0.798005
1.97807,-1.0802,0,1.0802
1.97845,-1.55366,0,1.55366
1.97884,-2.12132,0,2.12132
1.97922,-2.66855,0,2.66855
1.9796,-3.08092,0,3.08092
1.97999,-3.26195,0,3.26195
1.98037,-3.14805,0,3.14805
1.98075,-2.71861,0,2.71861
1.98114,-1.99948,0,1.99948
1.98152,-1.05942,0,1.05942
1.9819,-3.93418e-13,0,3.93418e-13
1.98229,1.05942,0,1.05942
1.98267,1.99948,0,1.99948
1.98305,2.71861,0,2.71861
1.98344,3.14805,0,3.14805
1.98382,3.26195,0,3.26195
1.9842,3.08092,0,3.08092
1.98459,2.66855,0,2.66855
1.98497,2.12132,0,2.12132
1.98535,1.55366,0,1.55366
1.98574,1.0802,0,1.0802
1.98612,0.798005,0,0.798005
1.98651,0.771639,0,0.771639
1.98689,1.02306,0,1.02306
1.98727,1.52814,0,1.52814
1.98766,2.22019,0,2.22019
1.98804,3,0,3
1.98842,3.75092,0,3.75092
1.98881,4.35657,0,4.35657
1.98919,4.71858,0,4.71858
1.98957,4.77164,0,4.77164
1.98996,4.49352,0,4.49352
1.99034,3.90862,0,3.90862
1.99072,3.0844,0,3.0844
1.99111,2.12132,0,2.12132
1.99149,1.13781,0,1.13781
1.99187,0.252497,0,0.252497
1.99226,-0.433569,0,0.433569
1.99264,-0.85195,0,0.85195
1.99302,-0.976905,0,0.976905
1.99341,-0.828943,0,0.828943
1.99379,-0.471315,0,0.471315
1.99418,-2.32729e-13,0,2.32729e-13
1.99456,0.471315,0,0.471315
1.99494,0.828943,0,0.828943
1.99533,0.976905,0,0.976905
1.99571,0.85195,0,0.85195
1.99609,0.433569,0,0.433569
1.99648,-0.252497,0,0.252497
1.99686,-1.13781,0,1.13781
1.99724,-2.12132,0,2.12132
1.99763,-3.0844,0,3.0844
1.99801,-3.90862,0,3.90862
1.99839,-4.49352,0,4.49352
1.99878,-4.77164,0,4.77164
1.99916,-4.71858,0,4.71858
1.99954,-4.35657,0,4.35657
1.99993,-3.75092,0,3.75092
2.00031,-3,0,3
2.00069,-2.22019,0,2.22019
2.00108,-1.52814,0,1.52814
2.00146,-1.02306,0,1.02306
2.00184,-0.771639,0,0.771639
2.00223,-0.798005,0,0.798005
2.00261,-1.0802,0,1.0802
2.003,-1.55366,0,1.55366
2.00338,-2.12132,0,2.12132
2.00376,-2.66855,0,2.66855
2.00415,-3.08092,0,3.08092
2.00453,-3.26195,0,3.26195
2.00491,-3.14805,0,3.14805
2.0053,-2.71861,0,2.71861
2.00568,-1.99948,0,1.99948
2.00606,-1.05942,0,1.05942
2.00645,-5.31355e-15,0,5.31355e-15
2.00683,1.05942,0,1.05942
2.00721,1.99948,0,1.99948
2.0076,2.71861,0,2.71861
2.00798,3.14805,0,3.14805
2.00836,3.26195,0,3.26195
2.00875,3.08092,0,3.08092
2.00913,2.66855,0,2.66855
2.00951,2.12132,0,2.12132
2.0099,1.55366,0,1.55366
2.01028,1.0802,0,1.0802
2.01067,0.798005,0,0.798005
2.01105,0.771639,0,0.771639
2.01143,1.02306,0,1.02306
2.01182,1.52814,0,1.52814
2.0122,2.22019,0,2.22019
2.01258,3,0,3
2.01297,3.75092,0,3.75092
2.01335,4.35657,0,4.35657
2.01373,4.71858,0,4.71858
2.01412,4.77164,0,4.77164
2.0145,4.49352,0,4.49352
